id_cliente,evasao,genero,idoso,parceiro,dependentes,meses_contrato,servico_telefone,multiplas_linhas,servico_internet,protecao_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_streaming,filmes_streaming,tipo_contrato,fatura_digital,metodo_pagamento,contas_diarias,cobranca_mensal,cobranca_total
0002-orfbo,nao,mulher,nao,sim,sim,9,sim,nao,dsl,nao,sim,nao,sim,sim,nao,anual,sim,cheque correios,2.2,65.6,593.3
0003-mknfe,nao,homem,nao,nao,nao,9,sim,sim,dsl,nao,nao,nao,nao,nao,sim,mensal,nao,cheque correios,2.01,59.9,542.4
0004-tlhlj,sim,homem,nao,nao,nao,4,sim,nao,fibra otica,nao,nao,sim,nao,nao,nao,mensal,sim,cheque eletronico,2.34,73.9,280.85
0011-igkff,sim,homem,sim,sim,nao,13,sim,nao,fibra otica,nao,sim,sim,nao,sim,sim,mensal,sim,cheque eletronico,3.17,98.0,1237.85
0013-exchz,sim,mulher,sim,sim,nao,3,sim,nao,fibra otica,nao,nao,nao,sim,sim,nao,mensal,sim,cheque correios,2.97,83.9,267.4
0013-mhzwf,nao,mulher,nao,nao,sim,9,sim,nao,dsl,nao,nao,nao,sim,sim,sim,mensal,sim,cartao credito automatico,2.12,69.4,571.45
0013-smeoe,nao,mulher,sim,sim,nao,71,sim,nao,fibra otica,sim,sim,sim,sim,sim,sim,bienal,sim,transferencia automatica,3.71,109.7,7904.25
0014-bmaqu,nao,homem,nao,sim,nao,63,sim,sim,fibra otica,sim,nao,nao,sim,nao,nao,bienal,sim,cartao credito automatico,2.85,84.65,5377.8
0015-uocoj,nao,mulher,sim,nao,nao,7,sim,nao,dsl,sim,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,1.62,48.2,340.35
0016-qljis,nao,mulher,nao,sim,sim,65,sim,sim,dsl,sim,sim,sim,sim,sim,sim,bienal,sim,cheque correios,3.06,90.45,5957.9
0017-dinoc,nao,homem,nao,nao,nao,54,nao,sem telefone,dsl,sim,nao,nao,sim,sim,nao,bienal,nao,cartao credito automatico,1.52,45.2,2460.55
0017-iudmw,nao,mulher,nao,sim,sim,72,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,bienal,sim,cartao credito automatico,3.92,116.8,8456.75
0018-nyrou,nao,mulher,nao,sim,nao,5,sim,nao,fibra otica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,2.34,68.95,351.5
0019-efaep,nao,mulher,nao,nao,nao,72,sim,sim,fibra otica,sim,sim,sim,nao,sim,nao,bienal,sim,transferencia automatica,3.36,101.3,7261.25
0019-gfntw,nao,mulher,nao,nao,nao,56,nao,sem telefone,dsl,sim,sim,sim,sim,nao,nao,bienal,nao,transferencia automatica,1.52,45.05,2560.1
0020-inwck,nao,mulher,nao,sim,sim,71,sim,sim,fibra otica,nao,sim,sim,nao,nao,sim,bienal,sim,cartao credito automatico,3.22,95.75,6849.4
0020-jdnxp,nao,mulher,nao,sim,sim,34,nao,sem telefone,dsl,sim,nao,sim,sim,sim,sim,anual,nao,cheque correios,1.95,61.25,1993.2
0021-ikxgc,nao,mulher,sim,nao,nao,1,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,2.4,72.1,72.1
0022-tcjci,sim,homem,sim,nao,nao,45,sim,nao,dsl,sim,nao,sim,nao,nao,sim,anual,nao,cartao credito automatico,2.07,62.7,2791.5
0023-hghwl,sim,homem,sim,nao,nao,1,nao,sem telefone,dsl,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,0.84,25.1,25.1
0023-uyupn,nao,mulher,sim,sim,nao,50,sim,sim,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,nao,cheque eletronico,0.87,25.2,1306.3
0023-xuopt,sim,mulher,nao,sim,nao,13,sim,sim,fibra otica,nao,sim,sim,nao,sim,nao,mensal,nao,cheque eletronico,3.12,94.1,1215.6
0027-kwykw,nao,mulher,nao,sim,sim,23,sim,sim,fibra otica,nao,nao,nao,nao,sim,nao,mensal,sim,cheque eletronico,2.68,83.75,1849.95
0030-fnxpp,nao,mulher,nao,nao,nao,3,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,cheque correios,0.64,19.85,57.2
0031-pvlzi,sim,mulher,nao,sim,sim,4,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,cheque correios,0.64,20.35,76.35
0032-pgels,sim,mulher,nao,sim,sim,1,nao,sem telefone,dsl,sim,nao,nao,nao,nao,nao,mensal,nao,transferencia automatica,1.02,30.5,30.5
0036-ihmot,nao,mulher,nao,sim,sim,55,sim,nao,fibra otica,nao,sim,sim,sim,sim,sim,anual,sim,transferencia automatica,3.43,103.7,5656.75
0040-halcw,nao,homem,nao,sim,sim,54,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cartao credito automatico,0.67,20.4,1090.6
0042-jvwoj,nao,homem,nao,nao,nao,26,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,sim,transferencia automatica,0.6,19.6,471.85
0042-rlhyp,nao,mulher,nao,sim,sim,69,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,transferencia automatica,0.67,19.7,1396.9
0048-lumls,nao,homem,nao,sim,sim,37,sim,nao,fibra otica,nao,nao,nao,nao,sim,sim,anual,nao,cartao credito automatico,2.93,91.2,3247.55
0048-pihnl,nao,mulher,nao,sim,nao,49,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,nao,transferencia automatica,0.61,20.45,900.9
0052-dckon,nao,homem,nao,sim,nao,66,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,anual,nao,transferencia automatica,4.01,115.8,7942.15
0052-ynyot,nao,mulher,nao,nao,nao,67,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,nao,cheque eletronico,0.67,20.55,1343.4
0056-epfbg,nao,homem,nao,sim,sim,20,nao,sem telefone,dsl,sim,nao,sim,sim,nao,nao,bienal,sim,cartao credito automatico,1.38,39.4,825.4
